nome;genero
The Overtones;{Pop music|Soul music|Doo-wop}
The Owl Service (band);Folk music
The Oxfam Glamour Models;Noise rock
The Oxford Freestylers;NULL
The Oxford Gargoyles;A cappella
The Ozark Mountain Daredevils;Southern rock
The P.O.X.;Psychobilly
The Pacemakers (funk band);Funk
The Pacific Ocean (band);{Indie rock|Indie pop}
The Pack (group);Hyphy
The Pack A.D.;{Indie rock|Garage rock}
The Paddingtons;{Indie rock|Alternative rock}
The Pagans;Punk rock
The Pains of Being Pure at Heart;{Shoegazing|Noise pop|Indie pop}
The Painted Faces;{Psychedelic rock|Garage rock}
The Palace Guard;{Garage rock|Folk rock|Pop rock}
The Palace Guards (Louisiana band);{Psychedelic rock|Garage rock|Folk rock}
The Paladins;{Rock and roll|Rockabilly|Blues rock|Roots rock|Americana (music)}
The Pale (band);{Rock music|Independent music}
The Pale Fountains;{New wave music|Jangle pop|Indie pop|Sophisti-pop}
The Pale Pacific;{Indie rock|Power pop}
The Paley Brothers;Power pop
The Palm Beach Band Boys;NULL
The Pancakes;{Indie pop|Cantopop|Hong Kong English pop}
The Panda Band;Indie pop
The Panderers;NULL
The Pandoras;{Alternative rock|Paisley Underground|Garage punk|Post-punk}
The Panic Channel;{Alternative rock|Post-hardcore}
The Panic Division;Alternative rock
The Panics;Rock music
The Paper Chase (band);{Alternative rock|Noise rock}
The Paper Cranes;Indie pop
The Paper Garden;{Psychedelic rock|Psychedelic pop}
The Paper Hearts;Indie rock
The Paper Kites;{Folk music|Indie rock}
The Paper Scissors;NULL
The Paperbacks;Indie rock
The Paperboys (Canadian band);{World music|Folk rock}
The Pappy Johns Band;Blues
The Parachute Club;{Pop music|Dance music|Caribbean music in Canada}
The Parachute Men;{Indie rock|Indie pop}
The Paradise Motel;{Rock music|Neofolk|Orchestra|Experimental music|Acoustic music}
The Paradons;{Rock and roll|Rhythm and blues|Soul music|Doo-wop}
The Paramounts;{Pop music|Rhythm and blues|Soul music}
The Paris Crash;Electronic rock
The Paris Sisters;Pop music
The Parkinsons (band);{Punk rock|new_wave}
The Parliaments;{Rhythm and blues|Doo-wop}
The Parlor Mob;Hard rock
The Parlotones;{New wave music|Indie rock|Alternative rock|Post-punk revival}
The Parsonage (choir);{Blues|Country music|Folk music|Choir}
The Parties (band);Rock music
The Partisans (band);{Punk rock|Oi!}
The Partland Brothers;Pop rock
The Party (band);{Pop music|Rhythm and blues|Dance music}
The Party Boys;{Rock music|Hard rock}
The Party Fouls;{Rock music|Hardcore punk|Power pop|Pop rock}
The Partysquad;{Reggae|Dub music|Hip house|Hardstyle|Hip hop music|Electro house|Trap music|Dance music}
The Pasadenas;{Pop music|Contemporary R&B}
The Passage (band);{Synthpop|Post-punk}
The Passengers (band);{New wave music|Post-punk}
The Passions (American band);NULL
The Passions (UK band);{New wave music|Dream pop|Post-punk}
The Pastels;Alternative rock
The Path We Chose (band);Hip hop music
The Paupers;Psychedelic rock
The Peach Pickers;Country music
The Peacocks (band);{Punk rock|Ska|Rockabilly}
The Peanut Butter Conspiracy;{Psychedelic rock|Psychedelic pop}
The Peanuts;J-pop
The Pearls;Pop music
The Pebbles;{Rock and roll|Rock music|Power pop}
The PeeChees;{Punk rock|Post-hardcore|Post-punk}
The Peep Tempel;{Punk rock|Rock and roll}
The Pees;{Punk rock|Post-punk}
The Pelaco Brothers;Rockabilly
The Penelopes;{Indie rock|Dance-punk|Nu gaze|Electronic music}
The Penguins;{Rhythm and blues|Doo-wop}
The Penny Black Remedy;{Country music|Ska|Folk rock}
The Pennywhistlers;{Folk music|World music}
The Penthouse 5;{Psychedelic rock|Garage rock|Folk rock}
The People's Choice (band);{Funk|Soul music}
The People's Temple (band);{Psychedelic rock|Shoegazing|Garage punk}
The Peppermints;NULL
The Perceptionists;Hip hop music
The Perfect Disaster;Alternative rock
The Perishers (band);Indie rock
The Perpetrators;Indie rock
The Perry Sisters;Southern gospel
The Perrys;Southern gospel
The Persuasions;{Pop music|Rhythm and blues|Soul music}
The Peth;Rock music
The Pets (1950s band);NULL
The Petty Thefts;{Indie rock|Baroque pop}
The Phantom Band;Indie rock
The Phantom Family Halo;{Psychedelic rock|Experimental music|Independent music}
The Phantom Limbs;{No wave|Gothic rock|Deathrock|Horror punk|Electropunk|Post-punk}
The Phantom Surfers;Surf music
The Pharaohs;{Funk|Soul music|Jazz}
The Pharcyde;Alternative hip hop
The Pharmacy;{Psychedelic rock|Indie rock}
The Phenomenauts;{New wave music|Punk rock|Surf music|Psychobilly}
The Philadelphia Singers;NULL
The Philisteins;Garage punk
The Philosopher Kings;{Soft rock|Contemporary R&B}
The Phlegmatics;Power pop
The Phoenix Foundation;{Progressive rock|Indie rock|Alternative country|Neo-psychedelia}
The Phonic Athletic;NULL
The Phonies;{Psychedelic rock|Indie rock|Alternative rock}
The Photo Atlas;{Indie rock|Dance-punk}
The Photons;{New wave music|Punk rock}
The Photos;New wave music
The Physics (music group);{Hip hop music|Hip hop music in the Pacific Northwest}
The Physics of Meaning;Indie pop
The Piano Guys;{Cello rock|Easy listening|Crossover music}
The Piass;{Hardcore punk|Metalcore|Thrashcore|Deathcore}
The Picks;Lubbock Texas
The Pictures;Rock music
The Pied Pipers;{Big band|Popular music}
The Pierces;{Psychedelic rock|Alternative rock|Folk rock|Indie pop|Psychedelic folk|Pop rock|Psychedelic pop}
The Pietasters;{Punk rock|Ska|Soul music|Rocksteady}
The Pigeon Detectives;{Indie rock|Garage rock|Post-punk revival}
The Pigram Brothers;NULL
The Pigs;Punk rock
The Pilgrims (band);{Indie rock|Alternative rock}
The Pillbugs;{Power pop|Psychedelic pop}
The Pillows;Alternative rock
The Pimps of Joytime;{Afrobeat|Funk|Soul music}
The Pin-Ups;{Christian rock|Indie rock|Alternative rock|Indie pop|Post-punk}
The Pin Up Girls;{Pop music|Hip hop music|Post-punk|Electronic music}
The Pine Hill Haints;Folk music
The Pineapple Thief;{Progressive rock|Indie rock|Alternative rock}
The Pineapples from the Dawn of Time;{Punk rock|Psychedelic rock}
The Pink Finks;{Pop music|Rhythm and blues}
The Pink Singers;{Folk music|Gospel music|Musical theatre|Choir|20th-century music|Classical music|Baroque music|Popular music|Vocal jazz}
The Pink Spiders;{Indie rock|Garage rock|Power pop|Pop punk}
The Pinker Tones;{Alternative rock|Lounge music|Indie pop}
The Pioneers (band);Reggae
The Piper Downs;Rock music
The Pipettes;Indie pop
The Pirate Signal;{Alternative rock|Hip hop music|Hip hop}
The Piss Shivers (band);{Punk rock|Hardcore punk}
The Pity Party;Rock music
The Pizza Underground;{Anti-folk|Comedy rock}
The Plague (American band);Hardcore punk
The Plague (English band);Rock music
The Plague (New Zealand band);Rock music
The Plagues;Garage rock
The Plan (band);NULL
The Planet Smashers;Ska punk
The Plastic Cloud;{Psychedelic rock|Folk rock}
The Plastic Constellations;Indie rock
The Plastic People of the Universe;{Rock music|Experimental rock|Prague underground (culture)}
The Plastic Revolution;{Rock music|Alternative rock|Pop punk}
The Plastics (South African band);Indie rock
The Platinum Brothers;{Rhythm and blues|Hip hop music}
The Platters;{Rock and roll|Rhythm and blues|Soul music|Doo-wop}
The Player Piano;{Post-rock|Emo|Indie rock|Math rock}
The Players (boyband);Pop music
The Players Band;NULL
The Playing Favorites;Indie rock
The Playtones;{Rock and roll|Rockabilly}
The Pleased;{Pop music|Rock music}
The Pleasers;Power pop
The Pleasure Fair;{Folk rock|Soft rock}
The Pleasure Seekers (band);{Psychedelic rock|Rock music|Hard rock|Garage rock|Motown}
The Plight;{Heavy metal music|Punk rock|Rock music}
The Plimsouls;{Alternative rock|Power pop|Paisley Underground}
The Plot in You;Metalcore
The Plot to Blow Up the Eiffel Tower;{Noise rock|Post-hardcore|Punk jazz|Post-punk}
The Plugz;{Punk rock|Rock music}
The Plunderers (band);Power pop
The Poets;{Blues|Psychedelic pop|Freakbeat}
The Pogues;{Folk rock|Celtic rock|Folk punk|Celtic punk}
The Pointer Sisters;{Country music|Pop music|Rhythm and blues|Soul music|Gospel music|Post-disco|Jazz|Electronic dance music}
The Poison Arrows;NULL
The Poison Control Center;Indie rock
The Police;{New wave music|Reggae rock|Post-punk}
The Polish Ambassador;{Electropop|Electronic music}
The Politicians;{New wave music|Rock music|Reggae}
The Polyamorous Affair;{Electronica|Indie rock|Alternative rock}
The Polyphonic Spree;{Symphonic rock|Psychedelic pop}
The Poni-Tails;Pop music
The Ponys (band);{Indie rock|Garage rock}
The Poodles;{Heavy metal music|Symphonic rock|Hard rock|Glam metal}
The Pooh Sticks;Indie pop
The Poor;Hard rock
The Poor (California band);{Psychedelic rock|Garage rock|Folk rock}
The Poozies;Folk music
The Pop Culture Suicides;{Rock music|Experimental music}
The Pop Group;{Funk|Free jazz|Post-punk|Avant-garde music}
The Popguns;Indie pop
The Poppies (American band);NULL
The Poppy Family;{Pop music|Pop rock|Psychedelic pop}
The Poppy Fields;Pop rock
The Porkers;Ska punk
The Porn Kings;{Electronic music|Dance music}
The Portland Cello Project;{Folk music|Heavy metal music|Pop music|Indie rock|Alternative rock|Indie pop|Hip hop music|Jazz|Crossover music|Classical music}
The Posies;{Alternative rock|Power pop}
The Possibilities;{Indie rock|Alternative country}
The Possible (band);J-pop
The Postal Service;{Indie rock|Electropop|Indie pop|Alternative dance}
The Postelles;{Indie rock|Alternative rock|Indie pop}
The Poster Boy;Indie rock
The Postmarks;{Pop music|Indie pop}
The Potbelleez;{Electro (music)|Dance music}
The Poverty Plainsmen;Country music
The Power Station (band);{New wave music|Hard rock|Pop rock|Dance-rock}
The Prairie Cartel;{Electronica|Alternative rock|Electro (music)}
The Prats;{Punk rock|Post-punk}
The Prayer Chain;Christian alternative rock
The Preachers;{Garage rock|Folk rock|Proto-punk}
The Preatures;{Rock and roll|Alternative rock|Indie pop}
The Precisions;Doo-wop
The Predators (Australian band);NULL
The Predators (Japanese band);{Hard rock|Alternative rock|Power pop}
The Prefects;Punk rock
The Presets;{Synthpop|Electroclash|Electropop|Dance-punk|Electro house|Dance music}
The Presidents of the United States of America (band);{Grunge|Alternative rock|Post-punk}
The Press (band);NULL
The Pretenders;{Punk rock|Rock music}
The Prettiots;Indie pop
The Pretty Reckless;{Hard rock|Alternative rock|Post-grunge}
The Pretty Things;{Psychedelic rock|Rock music|Garage rock|British rhythm and blues}
The Prevaricators;NULL
The Preytells;Rock music
The Priddle Concern;Indie rock
The Prids;{Indie rock|Shoegazing|Post-punk revival}
The Priests;Classical music
The Primary 5;{Alternative rock|Power pop}
The Primates;{Indie rock|Southern rock|Alternative rock|College rock|Post-punk}
The Prime Movers (Los Angeles band);Rock music
The Prime Movers (Michigan band);{Blues|Garage rock}
The Primevals (band);Garage rock
The Primitives;{Indie pop|Post-punk}
The Prisonaires;Blues
The Prisoners;{Garage rock|Mod revival|Neo-psychedelia}
The Prize Fighter Inferno;{Electronica|Folk rock|Folktronica|Experimental rock|Acoustic music}
The Procedure;NULL
The Proclaimers;{Country rock|Folk rock|College rock|Jangle pop|Celtic rock}
The Procussions;Hip hop music
The Prodigals;Celtic punk
The Prodigy;{Breakbeat hardcore|Electronica|Alternative rock|Rave music|Big beat|Alternative dance}
The Producers (band);{New wave music|Rock and roll|Rock music|Power pop}
The Product;Alternative rock
The Product G&B;Contemporary R&B
The Professionals (band);{Punk rock|Power pop|Post-punk|Glam punk}
The Professionals (hip-hop);{Pop music|Rock music|Soul music|Hip hop music}
The Project Hate MCMXCIX;Industrial metal
The Projection People;Progressive rock
The Proletariat;{Hardcore punk|Post-punk}
The Promise Hero;{Alternative rock|Pop punk}
The Promise Ring;{Emo|Indie rock|Power pop|Pop punk}
The Prophecy (band);{Progressive metal|Death-doom}
The Prostitutes;{Indie rock|Post-punk}
The Protist;{Ambient music|Electronica|Alternative dance}
The Protomen;{Hard rock|Indie rock|Nintendocore|Rock opera}
The Proton Energy Pills;{Detroit|Punk rock|Rock music|Grunge}
The Prototypes;{Drum and bass|Electro (music)|Bass music}
The Provincial Archive;{Indie rock|Alternative rock|Folk rock|Indie pop}
The Prozacs (band);{Punk rock|Pop punk}
The Pseudo Dates;{Indie rock|Indie pop|Sunshine pop}
The Psychedelic Furs;{New wave music|Alternative rock|Post-punk}
The Psychic Paramount;{Psychedelic rock|Noise rock|Experimental rock}
The Psychotic Turnbuckles;Garage punk
The Psychs;Surf_Pop_Soul_Space_Bubblegum
The Puddle;{Alternative rock|Pop rock}
The Pulsars;{New wave music|Indie rock}
The Punk Group;NULL
The Punkles;Punk rock
The Puppies;{Hip hop music|Bass music}
The Puppini Sisters;{Swing music|A cappella|Jazz|Close and open harmony}
The Purple Gang (L.A. band);{Garage rock|Psychedelic music}
The Pursuit of Happiness (band);{Power pop|College rock}
The Pusher (band);Pop music
The Pussycat Dolls;NULL
The Puzzle (band);Indie rock
The Pyramids (band);Surf music
The Qemists;{Drum and bass|Breakbeat|Electronica|Rave music|Electronic rock|Big beat}
The Quads;{New wave music|Post-punk}
The Quails;{Indie rock|Pop rock}
The Quails (US band);Punk rock
The Quakes;Psychobilly
The Quantic Soul Orchestra;{Funk|Salsa music|Bossa nova|Jazz}
The Quark Alliance;{Rock music|Progressive rock|Jazz fusion}
The Quarrymen;{Country music|Rock and roll|Skiffle}
The Quarters;{Punk rock|Rock music}
The Quebe Sisters Band;{Country music|Western swing}
The Queen Killing Kings;Indie rock
The Queers;{Punk rock|Pop punk}
The Questions;{Pop music|Rock music|Blues rock}
The Quests;NULL
The Quests (American band);Garage rock
The Queue (band);{Ska|Alternative rock}
The Quick (UK band);Album-oriented rock
The Quiet Room (band);Progressive metal
The Quill (band);{Heavy metal music|Hard rock|Stoner rock}
The Quireboys;{Hard rock|Glam metal|Blues rock|Glam punk}
The R's;{Pop music|Indie pop|Psychedelic pop}
The Rabbis' Sons;{Contemporary Jewish religious music|Nigun}
The Rabble;{Punk rock|Hardcore punk}
The Rabid Whole;{Electronica|Industrial rock|Alternative rock}
The Race (band);Indie rock
The Raconteurs;{Indie rock|Garage rock|Power pop|Blues rock}
The Racoons;{New wave music|Indie rock|Post-punk}
The Radiators (American band);{Southern rock|Roots rock|Swamp pop|Jam band}
The Radiators (Australian band);Pub rock (Australia)
The Radiators from Space;NULL
The Radio Dept.;{Synthpop|Shoegazing|Dream pop|Indie pop}
The Radioactive Chicken Heads;{Punk rock|Ska punk|Comedy rock}
The Radios;NULL
The Raelettes;{Pop music|Rhythm and blues|Soul music}
The Ragamuffins;Indie pop
The Railbenders;Country music
The Railers;Country music
The Rails;Folk rock
The Railway Children (band);{New wave music|Alternative rock}
The Rain;{Rock music|Britpop|Indie rock|Alternative rock}
The Rainband;Indie rock
The Raincoats;{Post-punk|Experimental rock}
The Rainmakers (band);Rock music
The Rakes;{Art rock|Indie rock|Dance-punk|Post-punk revival|Art punk}
The Raleigh Boychoir;{Folk music|Musical theatre|Classical music|Popular music|American patriotic music}
The Ramainz;Punk rock
The Rambos;{Southern gospel|Christian music}
The Ramong Sound;{Rhythm and blues|Ska|Soul music}
The Ramos Acrobats;{Reality television|Celebrity}
The Ramrods (instrumental group);Instrumental rock
The Rance Allen Group;{Rhythm and blues|Gospel music}
The Ranch (band);Country music
The Randy Abel Stable;{Alternative country|Americana (music)}
The Range Rats;NULL
The Rank Deluxe;NULL
The Rankin Family;{Folk music|Canadian country music}
The Raphaels;{Country music|Alternative country}
The Rapscallions;NULL
The Rapture (band);{Electronica|Indie rock|Dance-punk|Post-punk revival|Art punk}
The Rarely Herd;{Country music|Bluegrass music|Southern rock|Gospel music}
The Rarest Kind;{Alternative rock|Pop rock}
The Rascals;{Pop music|Rock music|Blue-eyed soul}
The Rascals (English band);{Britpop|Indie rock|Post-punk revival|Experimental rock}
The Rasmus;{Rock music|Hard rock|Alternative rock|Soft rock|Rap rock}
The Ratbites from Hell;NULL
The Rational Academy;NULL
The Rationals;Garage rock
The Rats & People Motion Picture Orchestra;Classical music
The Rats (American band);Garage punk
The Rats (British band);NULL
The Rattlers;{Garage rock|Pop punk}
The Rattles;{Psychedelic rock|Rock music|Beat music}
The Rattlesnake Aces;{Heavy metal music|Rock music|Hard rock}
The Rattlesnakes;Post-punk
The Rattlesnakes (1955 band);{Rock and roll|Doo-wop|Skiffle|Roots rock}
The Ravens;{Rhythm and blues|Doo-wop}
The Raveonettes;{Indie rock|Garage rock|Shoegazing|Surf music|Noise pop|Post-punk revival}
The Ravyns;{Rock music|Album-oriented rock|Classic rock}
The Raw Men Empire;{Anti-folk|Freak folk|Indie folk}
The Raymond Brake;Indie rock
The Razorbacks;Rockabilly
The Reactionaries;Punk rock
The Real Group;{Pop music|A cappella|Vocal jazz}
The Real Kids;{Punk rock|Power pop}
The Real McKenzies;Celtic punk
The Real Milli Vanilli;{Funk|Pop music|Hip hop music|Dance music}
The Real Nasty;{Country music|Rock music}
The Real Oh My;Punk rock
The Real People;{Britpop|Indie rock|Alternative rock}
The Real Thing (Norwegian band);{Electronica|Experimental rock|Jazz}
The Real Thing (UK band);{Disco|Rhythm and blues|Brit funk|British soul}
The Real Tuesday Weld;{Lounge music|Indie pop|Dark cabaret|Electro swing|Music hall}
The Real You;{Pop music|Rock music}
The Reason (band);{Rock music|Indie rock|Post-hardcore}
The Reason 4;Pop music
The Rebels (rockabilly band);{Rock and roll|Rockabilly}
The Receiving End of Sirens;{Progressive rock|Ambient music|Emo|Post-hardcore|Experimental rock}
The Record Company;{Rock and roll|Rock music|Blues rock}
The Records;{New wave music|Power pop}
The Recoys;{Indie rock|Garage rock}
The Red Army (band);Folk rock
The Red Baron (band);{Hardcore punk|Christian hardcore}
The Red Button;Power pop
The Red Chord;{Grindcore|Technical death metal|Deathcore}
The Red Death;{Death metal|Metalcore|Deathcore}
The Red Devils (blues band);Blues rock
The Red Fox Chasers;NULL
The Red Hearts;{Punk rock|Power pop|Garage punk}
The Red Jumpsuit Apparatus;{Emo|Alternative rock|Pop punk|Post-hardcore}
The Red Masque;{Art rock|Progressive rock}
The Red Onion Jazz Band;Trad jazz
The Red Paintings;{Art rock|Experimental rock}
The Red Romance;{Pop music|Rock and roll|Indie pop|Neo-Motown}
The Red Shore;{Technical death metal|Deathcore}
The Red Stick Ramblers;Cajun music
The Red Sun Band;{Indie rock|Dream pop}
The Redding Brothers;{Rock and roll|Rock music|Christian rock|Indie rock|Alternative rock|Pop rock}
The Reddings;{Funk|Rhythm and blues|Soul music}
The Redland;{Pop music|Alternative rock|Contemporary R&B|Hip hop music}
The Redneck Manifesto (band);{Instrumental rock|Math rock}
The Redskins;{Punk rock|Pop music|Soul music|Rockabilly}
The Reduction Agents;NULL
The Redwalls;{Indie rock|Alternative rock}
The Reelers;NULL
The Reels;{New wave music|Rock music|Indie pop}
The Reflections (New York band);NULL
The Refreshments (Swedish band);Rock and roll
The Refreshments (U.S. band);{Alternative rock|Post-grunge}
The Regent String Quartet;{Pop music|Bollywood|Chamber music|Classical music}
The Regime (group);Hip hop music
The Regiment (hip hop group);Hip hop music
The Reign of Kindo;{Progressive rock|Indie rock|Jazz fusion}
The Reigning Monarchs;{Punk rock|Ska|Rockabilly|Surf music}
The Reindeer Section;Indie rock
The Reivers (band);{Pop music|Indie rock|Alternative rock|New Sincerity}
The Rej3ctz;{Hip hop music|Electronic music}
The Relapse Symphony;{Rock and roll|Rock music|Hardcore punk|Post-hardcore}
The Relationship;{Rock music|Alternative rock}
The Remains;{Rock music|Garage rock}
The Remarkables (band);NULL
The Rembrandts;{Alternative rock|Power pop|Jangle pop|Soft rock|Pop rock}
The Remedies;Nigerian_hip_hop_music
The Remingtons;Country music
The Remission Flow;{Christian alternative rock|Christian rock|Indie rock|Contemporary Christian music|Contemporary worship music}
The Remo Four;{Rock and roll|Beat music|British Invasion}
The Renderers (band);Experimental_Psych_Folk_Country
The Rentals;{New wave music|Alternative rock|Power pop}
The Replacements (band);{Punk rock|Alternative rock|College rock|Post-punk}
The Republic Tigers;Alternative rock
The Republic of Wolves;{Indie rock|Alternative rock}
The Reputation;Indie rock
The Rescues;{Rock music|Indie rock}
The Research;Indie pop
The Residents;{Noise rock|Experimental rock|Experimental music|Avant-garde music|Mixed media}
The Resistance (Swedish band);Swedish death metal
The Resonance Association;{Electronica|Krautrock|Dark ambient|Drone music}
The Restarts;Street punk
The Retrosic;Electro-industrial
The Reunion Show;Pop punk
The Revelations (UK band);{Pop music|Soul music}
The Revelers (Louisiana);Cajun music
The Revellions;{Rock music|Garage rock|Psychedelic music}
The Reverend Horton Heat;{Country music|Rockabilly|Psychobilly|Ameripolitan}
The Reverend Peyton's Big Damn Band;{Folk music|Country blues}
The Revivalists;{Rock music|Alternative rock|Jam band}
The Revols;Rock and roll
The Revolution (band);{Rhythm and blues|Hard rock|Pop rock|Funk rock}
The Revolution Smile;{Nu metal|Hard rock|Alternative metal|Post-grunge}
The Revolutionary Hydra;NULL
The Revolving Paint Dream;Indie pop
The Revs;{Punk rock|Indie rock}
The Rezillos;{New wave music|Punk rock|Power pop}
The Rhythm Boys;Popular music
The Rhythm Sisters;{Pop music|Folk music of England}
The Rich-Tone Chorus;A cappella
The Riddles;NULL
The Rides;Blues
The Ridges;{Folk rock|Orchestra|Independent music}
The Ries Brothers;{Blues|Funk|Rock music|Reggae|Alternative rock|Pop rock}
The Riffs;{Punk rock|Rock and roll}
The Rifles (band);Indie rock
The Right Brothers;Rock music
The Righteous Brothers;{Pop music|Blue-eyed soul}
The Rimshots;{Disco|Funk}
The Ringers;Rock music
The Riot Squad;{Pop music|Rock music}
The Riotts.;Pop rock
The Rip Chords;{Pop music|Surf music}
The Rippingtons;Smooth jazz
The Riptide Movement;{Blues|Folk rock}
The Riptides (Canadian band);{Punk rock|Pop punk}
The Rise (band);NULL
The Ritchie Family;Disco
The Ritz (quartet);NULL
The Rivals (band);Punk rock
The River Company;{Psychedelic rock|Rock music|Acoustic music}
The River Detectives;Rock music
The River Monks;{Folk music|Indie rock|Folk rock|Indie pop}
The Riverboat Gamblers;{Punk rock|Garage rock|Alternative rock}
The Rivieras;{Rock and roll|Garage rock}
The Road Apples;NULL
The Road Hammers;Country music
The Roaring Twenties (band);{New wave music|Art rock}
The Robbs;{Pop music|Rock music}
The Roberta Martin Singers;Gospel music
The Robertson Brothers;{Pop music|Rock music|Theme music}
The Robins;Rhythm and blues
The Robocop Kraus;{Indie rock|Indie pop|Post-punk revival}
The Robot Ate Me;{Folk music|Psychedelic rock|Art rock|Indie rock|Indie pop|Psychedelic pop|Indie folk|Experimental rock|Experimental pop}
The Robustos;{Ska|Soul music|Jazz}
The Roches;{Folk music|Folk rock}
The Rock*A*Teens;Indie rock
The Rock-A-Teens;{Rock and roll|Rockabilly}
The Rock-afire Explosion;{Country music|Psychedelic rock|Pop music|Rock and roll|Modern rock}
The RockTigers;{Rock and roll|Rockabilly}
The Rock Heroes;Rock music
The Rock and Roll Trio;Rockabilly
The Rock n Roll Rats;Punk rock
The Rockerz;{Rock music|Rhythm and blues|Pop rock}
The Rocket Summer;{Indie rock|Alternative rock|Power pop|Pop rock}
The Rocketboys;{Post-rock|Indie rock|Alternative rock|Pop rock}
The Rockets (band);{Rock music|Blues rock|Classic rock}
The Rockfords;Alternative rock
The Rockin' Berries;{Pop music|Rock music|Novelty song|Beat music|Comedy}
The Rockin' Ramrods;{Rock and roll|Garage rock|Surf music|Proto-punk}
The Rockin' Vickers;{Rock music|Rhythm and blues|Beat music}
The Rocking Horse Winner (band);Indie rock
The Rockingbirds;Country rock
The Rocksteady Seven;{Reggae|Rocksteady|Ska jazz}
The Rocky Fellers;NULL
The Rocturnals;{Rock music|Soul music|Hip hop music}
The Rokes;{Beat music|Pop rock}
The Role Call;{Pop music|Alternative rock|Pop rock}
The Rolling Stones;{Blues|Rock music}
The Rollo Treadway;{Rock and roll|Baroque pop|Psychedelic pop}
The Romanovs (band);{Alternative rock|Dark cabaret|Classical music|Independent music}
The Romantics;{New wave music|Power pop|Pop rock}
The Romany Rye (band);{Folk rock|Americana (music)|Independent music}
The Romeros;{Flamenco|Classical music}
The Rondo Brothers;{Trip hop|Alternative rock|Hip hop music}
The Ronettes;{Pop music|Rock and roll|Rhythm and blues}
The Rooftop Singers;Folk music
The Room (band);Post-punk
The Roosters;{Punk rock|Blues rock}
The Roots;{Jazz rap|Neo soul|Hip hop music}
The Roots of Orchis;Progressive rock
The Ropes;{Indie rock|Shoegazing|Dream pop|Noise pop}
The Rose of Avalanche;{Gothic rock|Alternative rock|Post-punk}
The Rosebuds;{Folk music|Indie rock|Dance music}
The Rosso Sisters;{Pop music|Dance-pop|Teen pop}
The Rotted;{Death metal|Punk rock|D-beat}
The Rough Kutz;Ska
The Roulettes;{Rock and roll|Beat music}
The Rounders (band);{Southern rock|Blues rock|Roots rock}
The Routers;{Pop music|Surf music}
The Rowans;{Country rock|Folk rock|Progressive bluegrass}
The Roy Clark Method;Alternative rock
The Royal Concept;{Synthpop|Indie rock|Dance-pop|Indie pop|Pop rock|Alternative dance}
The Royal Family and the Poor;{New wave music|Electronica|Post-punk}
The Royal Guardsmen;{Rock music|Pop rock}
The Royal Oui;{Folk music|Acoustic music|Independent music}
The Royal Royal;{Contemporary worship music|Pop rock|Acoustic music}
The Royal Wind Music;NULL
The Royalettes;NULL
The Royalty;{Indie rock|Alternative rock|Post-punk}
The Royce Twins;Rock music
The Rubberbandits;{Hip hop music|Comedy hip hop|Satire|Prank call}
The Rubens;Alternative rock
The Rubettes;{Pop music|Glam rock}
The Rubinoos;Power pop
The Ruby Suns;NULL
The Rubyz;{Contemporary Christian music|Teen pop}
The Rude Boys;{Soul music|Gospel music|New jack swing|Contemporary R&B}
The Rudimentals;{Reggae|Ska}
The Rudiments;{Punk rock|Ska}
The Rugburns;{Alternative rock|Cowpunk}
The Ruins of Beverast;Black metal
The Rumble Strips;Indie pop
The Rumour;{New wave music|Rock music|Reggae|Rhythm and blues}
The Rumour (New Zealand band);Pop music
The Rumour Said Fire;{Folk music|Indie folk}
The Runaways;{Heavy metal music|Punk rock|Hard rock}
The Runners;{Rhythm and blues|Hip hop music|Electronic dance music}
The Rural Alberta Advantage;Indie rock
The Ruse;Indie rock
The Russian Futurists;{Synthpop|Indie rock|Alternative rock|Indie pop|Alternative dance}
The Rutles;{Rock and roll|Rock music|Comedy rock|Parody music}
The Ruts;Punk rock
The S.I.G.I.T.;{Psychedelic rock|Progressive rock|Hard rock|Garage rock|Blues rock}
The S.O.S. Band;{Disco|Contemporary R&B|Boogie (genre)|Urban contemporary}
The S.O.U.L. S.Y.S.T.E.M.;{Rhythm and blues|Dance music}
The Sacred Aires Quartet;NULL
The Sacrificed;{Heavy metal music|Progressive metal|Hard rock|Power metal|Christian metal}
The Saddletramps;Alternative country
The Sadies;{Country music|Alternative country}
The Sads;Indie rock
The Safaris;{Surf music|Popular music}
The Safety Fire;{Progressive metal|Avant-garde metal|Mathcore}
The Sainte Catherines;{Punk rock|Hardcore punk}
The Saints (1960s band);{Pop music|Surf music|Instrumental}
The Saints (Australian band);{Punk rock|Pop music|Rock music|Alternative rock}
The Salads;{Punk rock|Ska punk|Reggae fusion}
The Sallyangie;Folk music
The Salteens;{Indie rock|Indie pop}
The Sam Willows;Indie pop
The Same;Punk rock
The Samples;{Folk music|Reggae|Alternative rock|Jam band}
The Sand Band;Indie folk
The Sandals;Surf music
The Sandfleas;Punk rock
The Sandkings (band);Alternative rock
The Sandmen;Rock music
The Sandpebbles;NULL
The Sandpipers;Folk rock
The Sandwitches;NULL
The Saturday Knights;{Indie rock|Hip hop music}
The Saturdays;NULL
The Saturnine;Melody
The Saunders Brothers Show;NULL
The Savage Resurrection;{Psychedelic rock|Garage rock|Acid rock}
The Savage Rose;NULL
The Savages (Bermuda band);{Rock and roll|Garage rock|Proto-punk}
The Saw Doctors;Rock music
The Sawtooth Grin;NULL
